0,29679,26907,26990,11756,12356
1,29617,18017,16209,655,17939
28655,2,29661,27,27589,31979
3,27752,27262,29990,18559,28618
4,16807,27583,32136,27251,29808
26873,29671,5,27949,29287,31037
6,13585,17050,15738,31569,27600
7,32515,31749,28738,29005,28536
8,29177,29678,20192,15560,15692
29675,9,4,27244,29972,28289
10,31178,16282,17299,31274,31931
11,29673,17019,2926,31003,31827
12,28858,18414,17373,301,4536
13,32493,28418,14832,31474,30117
14,27572,29677,32178,10277,32268
29669,15,29573,27466,18425,29245
16,23212,29706,245,29676,1001
29693,17,26350,23201,10207,12751
18,29688,9925,185,17526,30499
19,12777,12580,11804,1911,13271
27247,28619,29975,20,31080,28017
21,3409,28995,9940,14283,29360
22,11393,27606,31526,968,10469
23,27555,28838,1578,27932,31233
24,22668,30605,31356,16830,4725
25,3431,31942,16909,29885,32042
26,28853,29672,28850,18098,16866
27,19850,2,28655,29661,27602
28,27987,31050,26787,31756,20196
29,27568,227,28646,29766,1729
30,30392,31463,2868,31798,27176
31,27619,606,10721,18098,16866
32,29585,32738,32405,16527,6666
33,27391,18047,31938,30325,29271
34,30360,30137,31597,2414,20455
35,10471,29271,29941,27213,20482
36,31892,27169,20891,18090,19333
37,28297,4674,28217,360,31332
38,32767,32125,20423,31845,2897
39,29821,31043,27980,5175,17684
29627,40,28940,17899,10575,30659
18351,19761,17064,4700,28841,23775
42,28813,3327,26877,17026,18089
43,23797,18378,19790,14527,12863
44,28380,31963,27484,29706,752
45,31267,14104,27154,376,15354
46,29160,27225,29951,26977,20150
47,999,483,23248,3828,1385
48,22921,1164,27265,29991,28697
49,3531,3499,15016,29704,26818
50,31962,17157,11091,29844,20980
51,7413,27996,31059,31550,27625
52,29682,29920,14179,12876,31642
53,28836,32517,29594,29345,32724
26810,54,30794,32157,31432,29437
55,26875,1409,29908,6061,26477
56,2435,27704,17059,11460,18203
27228,28884,57,29955,16507,17333
29980,27253,58,27116,23676,16827
59,2143,3237,31291,19620,31135
60,32715,29619,32501,27728,31555
61,28920,28989,31768,32779,28434
62,28953,7967,27619,606,10721
63,17254,30143,27194,23853,28911
64,28646,227,27568,15634,2189
65,27383,28174,28113,29316,833
66,27560,4028,27904,27833,16265
67,6432,14401,17911,9982,31424
68,27561,8402,1670,4470,18195
69,28845,32087,17277,30493,31398
70,29790,30795,23456,19743,4648
71,20098,272,17158,21551,30693
72,1376,25037,6844,2986,3019
73,2281,19849,17105,20014,4064
74,24146,3847,2237,5008,16586
75,1453,4649,21240,17877,27345
30789,7296,76,372,4663,23288
77,20941,23828,17940,19822,17966
78,14181,16399,16919,5434,22637
29936,21543,79,19755,23471,1340
18358,80,23781,19769,16841,18410
